Year,Month,Condition,Age Group,COVID-19 Deaths
2020,7,Respiratory failure,Not stated,0
2020,8,Respiratory failure,Not stated,0
2020,9,Respiratory failure,Not stated,0
2020,10,Respiratory failure,Not stated,0
2020,11,Respiratory failure,Not stated,0
2020,12,Respiratory failure,Not stated,1
2021,1,Respiratory failure,Not stated,0
2021,2,Respiratory failure,Not stated,0
2021,3,Respiratory failure,Not stated,1
2021,4,Respiratory failure,Not stated,1
2021,5,Respiratory failure,Not stated,0
2021,6,Respiratory failure,Not stated,0
2021,7,Respiratory failure,Not stated,0
2021,8,Respiratory failure,Not stated,0
2021,9,Respiratory failure,Not stated,0
2021,10,Respiratory failure,Not stated,0
2021,11,Respiratory failure,Not stated,0
2021,12,Respiratory failure,Not stated,0
2022,1,Respiratory failure,Not stated,1
2022,2,Respiratory failure,Not stated,0
2022,3,Respiratory failure,Not stated,0
2022,4,Respiratory failure,Not stated,0
2022,5,Respiratory failure,Not stated,0
2022,6,Respiratory failure,Not stated,0
2022,7,Respiratory failure,Not stated,0
2022,8,Respiratory failure,Not stated,0
2022,9,Respiratory failure,Not stated,0
2022,10,Respiratory failure,Not stated,0
2022,11,Respiratory failure,Not stated,0
2022,12,Respiratory failure,Not stated,0
2023,1,Respiratory failure,Not stated,0
2023,2,Respiratory failure,Not stated,0
2023,3,Respiratory failure,Not stated,0
2020,1,Respiratory failure,All Ages,1
2020,2,Respiratory failure,All Ages,7
2020,3,Respiratory failure,All Ages,2382
2020,4,Respiratory failure,All Ages,22105
2020,5,Respiratory failure,All Ages,12562
2020,6,Respiratory failure,All Ages,5790
2020,7,Respiratory failure,All Ages,10298
2020,8,Respiratory failure,All Ages,10994
2020,9,Respiratory failure,All Ages,7359
2020,10,Respiratory failure,All Ages,9203
2020,11,Respiratory failure,All Ages,19712
2020,12,Respiratory failure,All Ages,37942
2021,1,Respiratory failure,All Ages,43296
2021,2,Respiratory failure,All Ages,19901
2021,3,Respiratory failure,All Ages,9225
2021,4,Respiratory failure,All Ages,7364
2021,5,Respiratory failure,All Ages,6082
2021,6,Respiratory failure,All Ages,3260
2021,7,Respiratory failure,All Ages,4599
2021,8,Respiratory failure,All Ages,20746
2021,9,Respiratory failure,All Ages,28126
2021,10,Respiratory failure,All Ages,18771
2021,11,Respiratory failure,All Ages,13944
2021,12,Respiratory failure,All Ages,19422
2022,1,Respiratory failure,All Ages,33024
2022,2,Respiratory failure,All Ages,19732
2022,3,Respiratory failure,All Ages,5668
2022,4,Respiratory failure,All Ages,1887
2022,5,Respiratory failure,All Ages,2152
2022,6,Respiratory failure,All Ages,2752
2022,7,Respiratory failure,All Ages,3877
2022,8,Respiratory failure,All Ages,4119
2022,9,Respiratory failure,All Ages,3199
2022,10,Respiratory failure,All Ages,2757
2022,11,Respiratory failure,All Ages,2919
2022,12,Respiratory failure,All Ages,4499
2023,1,Respiratory failure,All Ages,4817
2023,2,Respiratory failure,All Ages,2741
2023,3,Respiratory failure,All Ages,1143
2020,1,Respiratory arrest,0-24,0
2020,2,Respiratory arrest,0-24,0
2020,3,Respiratory arrest,0-24,0
2020,4,Respiratory arrest,0-24,1
2020,5,Respiratory arrest,0-24,0
2020,6,Respiratory arrest,0-24,2
2020,7,Respiratory arrest,0-24,5
2020,8,Respiratory arrest,0-24,1
2020,9,Respiratory arrest,0-24,0
2020,10,Respiratory arrest,0-24,0
2020,11,Respiratory arrest,0-24,4
2020,12,Respiratory arrest,0-24,2
2021,1,Respiratory arrest,0-24,0
2021,2,Respiratory arrest,0-24,3
2021,3,Respiratory arrest,0-24,0
2021,4,Respiratory arrest,0-24,0
2021,5,Respiratory arrest,0-24,2
2021,6,Respiratory arrest,0-24,0
2021,7,Respiratory arrest,0-24,4
2021,8,Respiratory arrest,0-24,8
2021,9,Respiratory arrest,0-24,9
2021,10,Respiratory arrest,0-24,5
2021,11,Respiratory arrest,0-24,3
2021,12,Respiratory arrest,0-24,6
2022,1,Respiratory arrest,0-24,4
2022,2,Respiratory arrest,0-24,3
2022,3,Respiratory arrest,0-24,2
2022,4,Respiratory arrest,0-24,1
2022,5,Respiratory arrest,0-24,1
2022,6,Respiratory arrest,0-24,2
2022,7,Respiratory arrest,0-24,2
2022,8,Respiratory arrest,0-24,0
2022,9,Respiratory arrest,0-24,2
2022,10,Respiratory arrest,0-24,1
2022,11,Respiratory arrest,0-24,1
2022,12,Respiratory arrest,0-24,4
2023,1,Respiratory arrest,0-24,0
2023,2,Respiratory arrest,0-24,1
2023,3,Respiratory arrest,0-24,0
2020,1,Respiratory arrest,25-34,0
2020,2,Respiratory arrest,25-34,0
2020,3,Respiratory arrest,25-34,1
2020,4,Respiratory arrest,25-34,8
2020,5,Respiratory arrest,25-34,6
2020,6,Respiratory arrest,25-34,0
2020,7,Respiratory arrest,25-34,6
2020,8,Respiratory arrest,25-34,10
2020,9,Respiratory arrest,25-34,0
2020,10,Respiratory arrest,25-34,5
2020,11,Respiratory arrest,25-34,5
2020,12,Respiratory arrest,25-34,9
2021,1,Respiratory arrest,25-34,11
2021,2,Respiratory arrest,25-34,6
2021,3,Respiratory arrest,25-34,3
2021,4,Respiratory arrest,25-34,4
2021,5,Respiratory arrest,25-34,4
2021,6,Respiratory arrest,25-34,2
2021,7,Respiratory arrest,25-34,6
2021,8,Respiratory arrest,25-34,34
2021,9,Respiratory arrest,25-34,24
2021,10,Respiratory arrest,25-34,11
2021,11,Respiratory arrest,25-34,8
2021,12,Respiratory arrest,25-34,8
2022,1,Respiratory arrest,25-34,27
2022,2,Respiratory arrest,25-34,7
2022,3,Respiratory arrest,25-34,6
2022,4,Respiratory arrest,25-34,1
2022,5,Respiratory arrest,25-34,1
2022,6,Respiratory arrest,25-34,0
2022,7,Respiratory arrest,25-34,3
2022,8,Respiratory arrest,25-34,5
2022,9,Respiratory arrest,25-34,3
2022,10,Respiratory arrest,25-34,0
2022,11,Respiratory arrest,25-34,1
2022,12,Respiratory arrest,25-34,3
2023,1,Respiratory arrest,25-34,1
2023,2,Respiratory arrest,25-34,0
2023,3,Respiratory arrest,25-34,0
2020,1,Respiratory arrest,35-44,0
2020,2,Respiratory arrest,35-44,0
2020,3,Respiratory arrest,35-44,5
2020,4,Respiratory arrest,35-44,24
2020,5,Respiratory arrest,35-44,6
2020,6,Respiratory arrest,35-44,6
2020,7,Respiratory arrest,35-44,20
2020,8,Respiratory arrest,35-44,16
2020,9,Respiratory arrest,35-44,6
2020,10,Respiratory arrest,35-44,3
2020,11,Respiratory arrest,35-44,7
2020,12,Respiratory arrest,35-44,37
2021,1,Respiratory arrest,35-44,26
2021,2,Respiratory arrest,35-44,9
2021,3,Respiratory arrest,35-44,7
2021,4,Respiratory arrest,35-44,8
2021,5,Respiratory arrest,35-44,6
2021,6,Respiratory arrest,35-44,8
2021,7,Respiratory arrest,35-44,10
2021,8,Respiratory arrest,35-44,72
2021,9,Respiratory arrest,35-44,66
2021,10,Respiratory arrest,35-44,49
2021,11,Respiratory arrest,35-44,19
2021,12,Respiratory arrest,35-44,28
2022,1,Respiratory arrest,35-44,30
2022,2,Respiratory arrest,35-44,26
2022,3,Respiratory arrest,35-44,3
2022,4,Respiratory arrest,35-44,4
2022,5,Respiratory arrest,35-44,4
2022,6,Respiratory arrest,35-44,3
2022,7,Respiratory arrest,35-44,6
2022,8,Respiratory arrest,35-44,5
2022,9,Respiratory arrest,35-44,2
2022,10,Respiratory arrest,35-44,4
2022,11,Respiratory arrest,35-44,2
2022,12,Respiratory arrest,35-44,5
2023,1,Respiratory arrest,35-44,4
2023,2,Respiratory arrest,35-44,1
2023,3,Respiratory arrest,35-44,0
2020,1,Respiratory arrest,45-54,0
2020,2,Respiratory arrest,45-54,0
2020,3,Respiratory arrest,45-54,8
2020,4,Respiratory arrest,45-54,63
2020,5,Respiratory arrest,45-54,33
2020,6,Respiratory arrest,45-54,25
2020,7,Respiratory arrest,45-54,31
2020,8,Respiratory arrest,45-54,28
2020,9,Respiratory arrest,45-54,22
2020,10,Respiratory arrest,45-54,22
2020,11,Respiratory arrest,45-54,34
2020,12,Respiratory arrest,45-54,77
2021,1,Respiratory arrest,45-54,97
2021,2,Respiratory arrest,45-54,43
2021,3,Respiratory arrest,45-54,23
2021,4,Respiratory arrest,45-54,19
2021,5,Respiratory arrest,45-54,29
2021,6,Respiratory arrest,45-54,15
2021,7,Respiratory arrest,45-54,23
2021,8,Respiratory arrest,45-54,157
2021,9,Respiratory arrest,45-54,133
2021,10,Respiratory arrest,45-54,63
2021,11,Respiratory arrest,45-54,41
2021,12,Respiratory arrest,45-54,59
2022,1,Respiratory arrest,45-54,95
2022,2,Respiratory arrest,45-54,49
2022,3,Respiratory arrest,45-54,10
2022,4,Respiratory arrest,45-54,8
2022,5,Respiratory arrest,45-54,2
2022,6,Respiratory arrest,45-54,4
2022,7,Respiratory arrest,45-54,9
2022,8,Respiratory arrest,45-54,7
2022,9,Respiratory arrest,45-54,7
2022,10,Respiratory arrest,45-54,6
2022,11,Respiratory arrest,45-54,13
2022,12,Respiratory arrest,45-54,8
2023,1,Respiratory arrest,45-54,2
2023,2,Respiratory arrest,45-54,5
2023,3,Respiratory arrest,45-54,4
2020,1,Respiratory arrest,55-64,1
2020,2,Respiratory arrest,55-64,0
2020,3,Respiratory arrest,55-64,14
2020,4,Respiratory arrest,55-64,159
2020,5,Respiratory arrest,55-64,78
2020,6,Respiratory arrest,55-64,37
2020,7,Respiratory arrest,55-64,81
2020,8,Respiratory arrest,55-64,75
2020,9,Respiratory arrest,55-64,41
2020,10,Respiratory arrest,55-64,47
2020,11,Respiratory arrest,55-64,125
2020,12,Respiratory arrest,55-64,227
2021,1,Respiratory arrest,55-64,260
2021,2,Respiratory arrest,55-64,128
2021,3,Respiratory arrest,55-64,62
2021,4,Respiratory arrest,55-64,49
2021,5,Respiratory arrest,55-64,46
2021,6,Respiratory arrest,55-64,22
2021,7,Respiratory arrest,55-64,47
2021,8,Respiratory arrest,55-64,248
2021,9,Respiratory arrest,55-64,221
2021,10,Respiratory arrest,55-64,143
2021,11,Respiratory arrest,55-64,94
2021,12,Respiratory arrest,55-64,152
2022,1,Respiratory arrest,55-64,225
2022,2,Respiratory arrest,55-64,133
2022,3,Respiratory arrest,55-64,40
2022,4,Respiratory arrest,55-64,21
2022,5,Respiratory arrest,55-64,12
2022,6,Respiratory arrest,55-64,22
2022,7,Respiratory arrest,55-64,29
2022,8,Respiratory arrest,55-64,28
2022,9,Respiratory arrest,55-64,12
2022,10,Respiratory arrest,55-64,21
2022,11,Respiratory arrest,55-64,17
2022,12,Respiratory arrest,55-64,24
2023,1,Respiratory arrest,55-64,17
2023,2,Respiratory arrest,55-64,12
2023,3,Respiratory arrest,55-64,5
2020,1,Respiratory arrest,65-74,0
2020,2,Respiratory arrest,65-74,0
2020,3,Respiratory arrest,65-74,23
2020,4,Respiratory arrest,65-74,297
2020,5,Respiratory arrest,65-74,162
2020,6,Respiratory arrest,65-74,62
2020,7,Respiratory arrest,65-74,124
2020,8,Respiratory arrest,65-74,139
2020,9,Respiratory arrest,65-74,74
2020,10,Respiratory arrest,65-74,105
2020,11,Respiratory arrest,65-74,200
2020,12,Respiratory arrest,65-74,430
2021,1,Respiratory arrest,65-74,502
2021,2,Respiratory arrest,65-74,203
2021,3,Respiratory arrest,65-74,117
2021,4,Respiratory arrest,65-74,101
2021,5,Respiratory arrest,65-74,69
2021,6,Respiratory arrest,65-74,37
2021,7,Respiratory arrest,65-74,40
2021,8,Respiratory arrest,65-74,222
2021,9,Respiratory arrest,65-74,267
2021,10,Respiratory arrest,65-74,174
2021,11,Respiratory arrest,65-74,124
2021,12,Respiratory arrest,65-74,223
2022,1,Respiratory arrest,65-74,386
2022,2,Respiratory arrest,65-74,240
2022,3,Respiratory arrest,65-74,90
2022,4,Respiratory arrest,65-74,31
2022,5,Respiratory arrest,65-74,25
2022,6,Respiratory arrest,65-74,42
2022,7,Respiratory arrest,65-74,30
2022,8,Respiratory arrest,65-74,51
2022,9,Respiratory arrest,65-74,38
2022,10,Respiratory arrest,65-74,31
2022,11,Respiratory arrest,65-74,38
2022,12,Respiratory arrest,65-74,52
2023,1,Respiratory arrest,65-74,62
2023,2,Respiratory arrest,65-74,31
2023,3,Respiratory arrest,65-74,11
2020,1,Respiratory arrest,75-84,0
2020,2,Respiratory arrest,75-84,1
2020,3,Respiratory arrest,75-84,37
2020,4,Respiratory arrest,75-84,399
2020,5,Respiratory arrest,75-84,203
2020,6,Respiratory arrest,75-84,93
2020,7,Respiratory arrest,75-84,149
2020,8,Respiratory arrest,75-84,150
2020,9,Respiratory arrest,75-84,98
2020,10,Respiratory arrest,75-84,151
2020,11,Respiratory arrest,75-84,326
2020,12,Respiratory arrest,75-84,643
2021,1,Respiratory arrest,75-84,699
2021,2,Respiratory arrest,75-84,264
2021,3,Respiratory arrest,75-84,134
2021,4,Respiratory arrest,75-84,73
2021,5,Respiratory arrest,75-84,59
2021,6,Respiratory arrest,75-84,35
2021,7,Respiratory arrest,75-84,48
2021,8,Respiratory arrest,75-84,204
2021,9,Respiratory arrest,75-84,244
2021,10,Respiratory arrest,75-84,168
2021,11,Respiratory arrest,75-84,136
2021,12,Respiratory arrest,75-84,219
2022,1,Respiratory arrest,75-84,425
2022,2,Respiratory arrest,75-84,319
2022,3,Respiratory arrest,75-84,73
2022,4,Respiratory arrest,75-84,28
2022,5,Respiratory arrest,75-84,46
2022,6,Respiratory arrest,75-84,55
2022,7,Respiratory arrest,75-84,60
2022,8,Respiratory arrest,75-84,90
2022,9,Respiratory arrest,75-84,52
2022,10,Respiratory arrest,75-84,68
2022,11,Respiratory arrest,75-84,60
2022,12,Respiratory arrest,75-84,93
2023,1,Respiratory arrest,75-84,74
2023,2,Respiratory arrest,75-84,54
2023,3,Respiratory arrest,75-84,16
2020,1,Respiratory arrest,85+,0
2020,2,Respiratory arrest,85+,0
2020,3,Respiratory arrest,85+,48
2020,4,Respiratory arrest,85+,501
2020,5,Respiratory arrest,85+,296
2020,6,Respiratory arrest,85+,104
2020,7,Respiratory arrest,85+,177
2020,8,Respiratory arrest,85+,188
2020,9,Respiratory arrest,85+,157
2020,10,Respiratory arrest,85+,163
2020,11,Respiratory arrest,85+,443
2020,12,Respiratory arrest,85+,786
2021,1,Respiratory arrest,85+,789
2021,2,Respiratory arrest,85+,295
2021,3,Respiratory arrest,85+,126
2021,4,Respiratory arrest,85+,73
2021,5,Respiratory arrest,85+,63
2021,6,Respiratory arrest,85+,31
2021,7,Respiratory arrest,85+,40
2021,8,Respiratory arrest,85+,140
2021,9,Respiratory arrest,85+,228
2021,10,Respiratory arrest,85+,135
2021,11,Respiratory arrest,85+,127
2021,12,Respiratory arrest,85+,185
2022,1,Respiratory arrest,85+,464
2022,2,Respiratory arrest,85+,257
2022,3,Respiratory arrest,85+,83
2022,4,Respiratory arrest,85+,40
2022,5,Respiratory arrest,85+,63
2022,6,Respiratory arrest,85+,89
2022,7,Respiratory arrest,85+,96
2022,8,Respiratory arrest,85+,118
2022,9,Respiratory arrest,85+,95
2022,10,Respiratory arrest,85+,86
2022,11,Respiratory arrest,85+,88
2022,12,Respiratory arrest,85+,117
2023,1,Respiratory arrest,85+,121
2023,2,Respiratory arrest,85+,53
2023,3,Respiratory arrest,85+,43
2020,1,Respiratory arrest,Not stated,0
2020,2,Respiratory arrest,Not stated,0
2020,3,Respiratory arrest,Not stated,0
2020,4,Respiratory arrest,Not stated,0
2020,5,Respiratory arrest,Not stated,0
2020,6,Respiratory arrest,Not stated,0
2020,7,Respiratory arrest,Not stated,0
2020,8,Respiratory arrest,Not stated,0
2020,9,Respiratory arrest,Not stated,0
2020,10,Respiratory arrest,Not stated,0
2020,11,Respiratory arrest,Not stated,0
2020,12,Respiratory arrest,Not stated,0
2021,1,Respiratory arrest,Not stated,0
2021,2,Respiratory arrest,Not stated,0
2021,3,Respiratory arrest,Not stated,0
2021,4,Respiratory arrest,Not stated,0
2021,5,Respiratory arrest,Not stated,0
2021,6,Respiratory arrest,Not stated,0
2021,7,Respiratory arrest,Not stated,0
2021,8,Respiratory arrest,Not stated,0
2021,9,Respiratory arrest,Not stated,0
2021,10,Respiratory arrest,Not stated,0
2021,11,Respiratory arrest,Not stated,0
2021,12,Respiratory arrest,Not stated,0
2022,1,Respiratory arrest,Not stated,0
2022,2,Respiratory arrest,Not stated,0
2022,3,Respiratory arrest,Not stated,0
2022,4,Respiratory arrest,Not stated,0
2022,5,Respiratory arrest,Not stated,0
2022,6,Respiratory arrest,Not stated,0
2022,7,Respiratory arrest,Not stated,0
2022,8,Respiratory arrest,Not stated,0
2022,9,Respiratory arrest,Not stated,0
2022,10,Respiratory arrest,Not stated,0
2022,11,Respiratory arrest,Not stated,0
2022,12,Respiratory arrest,Not stated,0
2023,1,Respiratory arrest,Not stated,0
2023,2,Respiratory arrest,Not stated,0
2023,3,Respiratory arrest,Not stated,0
2020,1,Respiratory arrest,All Ages,1
2020,2,Respiratory arrest,All Ages,1
2020,3,Respiratory arrest,All Ages,136
2020,4,Respiratory arrest,All Ages,1452
2020,5,Respiratory arrest,All Ages,784
2020,6,Respiratory arrest,All Ages,329
2020,7,Respiratory arrest,All Ages,593
2020,8,Respiratory arrest,All Ages,607
2020,9,Respiratory arrest,All Ages,398
2020,10,Respiratory arrest,All Ages,496
2020,11,Respiratory arrest,All Ages,1144
2020,12,Respiratory arrest,All Ages,2211
2021,1,Respiratory arrest,All Ages,2384
2021,2,Respiratory arrest,All Ages,951
2021,3,Respiratory arrest,All Ages,472
2021,4,Respiratory arrest,All Ages,327
2021,5,Respiratory arrest,All Ages,278
2021,6,Respiratory arrest,All Ages,150
2021,7,Respiratory arrest,All Ages,218
2021,8,Respiratory arrest,All Ages,1085
2021,9,Respiratory arrest,All Ages,1192
2021,10,Respiratory arrest,All Ages,748
2021,11,Respiratory arrest,All Ages,552
2021,12,Respiratory arrest,All Ages,880
2022,1,Respiratory arrest,All Ages,1656
2022,2,Respiratory arrest,All Ages,1034
2022,3,Respiratory arrest,All Ages,307
2022,4,Respiratory arrest,All Ages,134
2022,5,Respiratory arrest,All Ages,154
2022,6,Respiratory arrest,All Ages,217
2022,7,Respiratory arrest,All Ages,235
2022,8,Respiratory arrest,All Ages,304
2022,9,Respiratory arrest,All Ages,211
2022,10,Respiratory arrest,All Ages,217
2022,11,Respiratory arrest,All Ages,220
2022,12,Respiratory arrest,All Ages,306
2023,1,Respiratory arrest,All Ages,281
2023,2,Respiratory arrest,All Ages,157
2023,3,Respiratory arrest,All Ages,79
2020,1,Other diseases of the respiratory system,0-24,0
2020,2,Other diseases of the respiratory system,0-24,0
2020,3,Other diseases of the respiratory system,0-24,1
2020,4,Other diseases of the respiratory system,0-24,3
2020,5,Other diseases of the respiratory system,0-24,2
2020,6,Other diseases of the respiratory system,0-24,3
2020,7,Other diseases of the respiratory system,0-24,7
2020,8,Other diseases of the respiratory system,0-24,4
2020,9,Other diseases of the respiratory system,0-24,4
2020,10,Other diseases of the respiratory system,0-24,1
2020,11,Other diseases of the respiratory system,0-24,4
2020,12,Other diseases of the respiratory system,0-24,8
2021,1,Other diseases of the respiratory system,0-24,16
2021,2,Other diseases of the respiratory system,0-24,10
2021,3,Other diseases of the respiratory system,0-24,4
2021,4,Other diseases of the respiratory system,0-24,2
2021,5,Other diseases of the respiratory system,0-24,8
2021,6,Other diseases of the respiratory system,0-24,3
2021,7,Other diseases of the respiratory system,0-24,7
2021,8,Other diseases of the respiratory system,0-24,33
2021,9,Other diseases of the respiratory system,0-24,37
2021,10,Other diseases of the respiratory system,0-24,15
2021,11,Other diseases of the respiratory system,0-24,18
2021,12,Other diseases of the respiratory system,0-24,27
2022,1,Other diseases of the respiratory system,0-24,38
2022,2,Other diseases of the respiratory system,0-24,22
2022,3,Other diseases of the respiratory system,0-24,9
2022,4,Other diseases of the respiratory system,0-24,5
2022,5,Other diseases of the respiratory system,0-24,5
2022,6,Other diseases of the respiratory system,0-24,7
2022,7,Other diseases of the respiratory system,0-24,18
2022,8,Other diseases of the respiratory system,0-24,11
2022,9,Other diseases of the respiratory system,0-24,11
2022,10,Other diseases of the respiratory system,0-24,9
2022,11,Other diseases of the respiratory system,0-24,6
2022,12,Other diseases of the respiratory system,0-24,9
2023,1,Other diseases of the respiratory system,0-24,8
2023,2,Other diseases of the respiratory system,0-24,4
2023,3,Other diseases of the respiratory system,0-24,1
2020,1,Other diseases of the respiratory system,25-34,0
2020,2,Other diseases of the respiratory system,25-34,0
2020,3,Other diseases of the respiratory system,25-34,4
2020,4,Other diseases of the respiratory system,25-34,10
2020,5,Other diseases of the respiratory system,25-34,9
2020,6,Other diseases of the respiratory system,25-34,9
2020,7,Other diseases of the respiratory system,25-34,22
2020,8,Other diseases of the respiratory system,25-34,14
2020,9,Other diseases of the respiratory system,25-34,6
2020,10,Other diseases of the respiratory system,25-34,7
2020,11,Other diseases of the respiratory system,25-34,17
2020,12,Other diseases of the respiratory system,25-34,27
2021,1,Other diseases of the respiratory system,25-34,36
2021,2,Other diseases of the respiratory system,25-34,27
2021,3,Other diseases of the respiratory system,25-34,13
2021,4,Other diseases of the respiratory system,25-34,16
2021,5,Other diseases of the respiratory system,25-34,20
2021,6,Other diseases of the respiratory system,25-34,10
2021,7,Other diseases of the respiratory system,25-34,12
2021,8,Other diseases of the respiratory system,25-34,64
2021,9,Other diseases of the respiratory system,25-34,113
2021,10,Other diseases of the respiratory system,25-34,66
2021,11,Other diseases of the respiratory system,25-34,42
2021,12,Other diseases of the respiratory system,25-34,51
2022,1,Other diseases of the respiratory system,25-34,60
2022,2,Other diseases of the respiratory system,25-34,26
2022,3,Other diseases of the respiratory system,25-34,15
2022,4,Other diseases of the respiratory system,25-34,9
2022,5,Other diseases of the respiratory system,25-34,7
2022,6,Other diseases of the respiratory system,25-34,5
2022,7,Other diseases of the respiratory system,25-34,12
2022,8,Other diseases of the respiratory system,25-34,13
2022,9,Other diseases of the respiratory system,25-34,6
2022,10,Other diseases of the respiratory system,25-34,8
2022,11,Other diseases of the respiratory system,25-34,5
2022,12,Other diseases of the respiratory system,25-34,4
2023,1,Other diseases of the respiratory system,25-34,10
2023,2,Other diseases of the respiratory system,25-34,3
2023,3,Other diseases of the respiratory system,25-34,2
2020,1,Other diseases of the respiratory system,35-44,0
2020,2,Other diseases of the respiratory system,35-44,0
2020,3,Other diseases of the respiratory system,35-44,8
2020,4,Other diseases of the respiratory system,35-44,31
2020,5,Other diseases of the respiratory system,35-44,17
2020,6,Other diseases of the respiratory system,35-44,18
2020,7,Other diseases of the respiratory system,35-44,50
2020,8,Other diseases of the respiratory system,35-44,34
2020,9,Other diseases of the respiratory system,35-44,18
2020,10,Other diseases of the respiratory system,35-44,27
2020,11,Other diseases of the respiratory system,35-44,34
2020,12,Other diseases of the respiratory system,35-44,70
2021,1,Other diseases of the respiratory system,35-44,93
2021,2,Other diseases of the respiratory system,35-44,40
2021,3,Other diseases of the respiratory system,35-44,35
2021,4,Other diseases of the respiratory system,35-44,29
2021,5,Other diseases of the respiratory system,35-44,28
2021,6,Other diseases of the respiratory system,35-44,28
2021,7,Other diseases of the respiratory system,35-44,50
2021,8,Other diseases of the respiratory system,35-44,154
2021,9,Other diseases of the respiratory system,35-44,251
2021,10,Other diseases of the respiratory system,35-44,178
2021,11,Other diseases of the respiratory system,35-44,109
2021,12,Other diseases of the respiratory system,35-44,116
2022,1,Other diseases of the respiratory system,35-44,161
2022,2,Other diseases of the respiratory system,35-44,71
2022,3,Other diseases of the respiratory system,35-44,39
2022,4,Other diseases of the respiratory system,35-44,10
2022,5,Other diseases of the respiratory system,35-44,18
2022,6,Other diseases of the respiratory system,35-44,17
2022,7,Other diseases of the respiratory system,35-44,21
2022,8,Other diseases of the respiratory system,35-44,17
2022,9,Other diseases of the respiratory system,35-44,8
2022,10,Other diseases of the respiratory system,35-44,9
2022,11,Other diseases of the respiratory system,35-44,8
2022,12,Other diseases of the respiratory system,35-44,17
2023,1,Other diseases of the respiratory system,35-44,11
2023,2,Other diseases of the respiratory system,35-44,7
2023,3,Other diseases of the respiratory system,35-44,4
2020,1,Other diseases of the respiratory system,45-54,1
2020,2,Other diseases of the respiratory system,45-54,0
2020,3,Other diseases of the respiratory system,45-54,10
2020,4,Other diseases of the respiratory system,45-54,75
2020,5,Other diseases of the respiratory system,45-54,70
2020,6,Other diseases of the respiratory system,45-54,53
2020,7,Other diseases of the respiratory system,45-54,74
2020,8,Other diseases of the respiratory system,45-54,80
2020,9,Other diseases of the respiratory system,45-54,53
2020,10,Other diseases of the respiratory system,45-54,71
2020,11,Other diseases of the respiratory system,45-54,101
2020,12,Other diseases of the respiratory system,45-54,189
2021,1,Other diseases of the respiratory system,45-54,250
2021,2,Other diseases of the respiratory system,45-54,139
2021,3,Other diseases of the respiratory system,45-54,97
2021,4,Other diseases of the respiratory system,45-54,102
2021,5,Other diseases of the respiratory system,45-54,103
2021,6,Other diseases of the respiratory system,45-54,80
2021,7,Other diseases of the respiratory system,45-54,82
2021,8,Other diseases of the respiratory system,45-54,282
2021,9,Other diseases of the respiratory system,45-54,478
2021,10,Other diseases of the respiratory system,45-54,343
2021,11,Other diseases of the respiratory system,45-54,215
2021,12,Other diseases of the respiratory system,45-54,228
2022,1,Other diseases of the respiratory system,45-54,406
2022,2,Other diseases of the respiratory system,45-54,212
2022,3,Other diseases of the respiratory system,45-54,104
2022,4,Other diseases of the respiratory system,45-54,37
2022,5,Other diseases of the respiratory system,45-54,38
2022,6,Other diseases of the respiratory system,45-54,28
2022,7,Other diseases of the respiratory system,45-54,30
2022,8,Other diseases of the respiratory system,45-54,48
2022,9,Other diseases of the respiratory system,45-54,39
2022,10,Other diseases of the respiratory system,45-54,33
2022,11,Other diseases of the respiratory system,45-54,33
2022,12,Other diseases of the respiratory system,45-54,32
2023,1,Other diseases of the respiratory system,45-54,34
2023,2,Other diseases of the respiratory system,45-54,18
2023,3,Other diseases of the respiratory system,45-54,17
2020,1,Other diseases of the respiratory system,55-64,0
2020,2,Other diseases of the respiratory system,55-64,0
2020,3,Other diseases of the respiratory system,55-64,23
2020,4,Other diseases of the respiratory system,55-64,208
2020,5,Other diseases of the respiratory system,55-64,141
2020,6,Other diseases of the respiratory system,55-64,115
2020,7,Other diseases of the respiratory system,55-64,195
2020,8,Other diseases of the respiratory system,55-64,206
2020,9,Other diseases of the respiratory system,55-64,138
2020,10,Other diseases of the respiratory system,55-64,143
2020,11,Other diseases of the respiratory system,55-64,268
2020,12,Other diseases of the respiratory system,55-64,527
2021,1,Other diseases of the respiratory system,55-64,686
2021,2,Other diseases of the respiratory system,55-64,420
2021,3,Other diseases of the respiratory system,55-64,270
2021,4,Other diseases of the respiratory system,55-64,197
2021,5,Other diseases of the respiratory system,55-64,199
2021,6,Other diseases of the respiratory system,55-64,144
2021,7,Other diseases of the respiratory system,55-64,147
2021,8,Other diseases of the respiratory system,55-64,442
2021,9,Other diseases of the respiratory system,55-64,795
2021,10,Other diseases of the respiratory system,55-64,587
2021,11,Other diseases of the respiratory system,55-64,380
2021,12,Other diseases of the respiratory system,55-64,476
2022,1,Other diseases of the respiratory system,55-64,822
2022,2,Other diseases of the respiratory system,55-64,594
2022,3,Other diseases of the respiratory system,55-64,245
2022,4,Other diseases of the respiratory system,55-64,96
2022,5,Other diseases of the respiratory system,55-64,72
2022,6,Other diseases of the respiratory system,55-64,83
2022,7,Other diseases of the respiratory system,55-64,108
2022,8,Other diseases of the respiratory system,55-64,110
2022,9,Other diseases of the respiratory system,55-64,92
2022,10,Other diseases of the respiratory system,55-64,79
2022,11,Other diseases of the respiratory system,55-64,71
2022,12,Other diseases of the respiratory system,55-64,84
2023,1,Other diseases of the respiratory system,55-64,116
